rank	word	lemma	meanings
5699	perfume		NOUN|perfume|1.00
5702	obligado		VERB|obligated/forced|1.00
5703	obligado	obligar	VERB|forced|1.00
5704	noviembre		NOUN|November|1.00
5707	fallado		VERB|failed|1.00
5709	escocia	Escocia	PROPN|Scotland|1.00
5712	camiseta		NOUN|T-shirt|1.00
5713	venas	vena	NOUN|veins|1.00
5716	pavo		NOUN|turkey|1.00
5718	nieto		NOUN|grandson|1.00
5719	liberar		VERB|to free/release|1.00
5722	barón		NOUN|baron|1.00
5724	vicepresidente		NOUN|vice president|1.00
5725	simón		NOUN|Simon|1.00
5726	simón	Simón	PROPN|Simón|1.00
5729	ordenador		NOUN|computer|1.00
5733	despertado		VERB|awakened|1.00
5736	alumnos	alumno	NOUN|students|1.00
5740	norma		NOUN|norm/rule|1.00
5741	norma	normar	VERB|regulates|1.00
5742	musical		ADJ|musical|0.60;NOUN|musical|0.40
5743	lápiz		NOUN|pencil|1.00
5746	fruta		NOUN|fruit|1.00
5748	eléctrica		ADJ|electric|1.00
5749	eléctrica	eléctrico	ADJ|electric|1.00
5750	crítica		NOUN|criticism|0.60;ADJ|critical|0.40
5752	chip		NOUN|chip|1.00
5753	cargado		VERB|loaded/charged|1.00
5764	gastar		VERB|to spend|1.00
5767	quitado		VERB|removed|1.00
5770	perímetro		NOUN|perimeter|1.00
5771	pegado		VERB|stuck/glued|1.00
5776	forense		NOUN|forensic/coroner|0.60;ADJ|forensic|0.40
5778	ésas	esa	PRON|those|1.00
5779	dignidad		NOUN|dignity|1.00
5782	delicado		ADJ|delicate|1.00
5783	cuarenta		NUM|forty|1.00
5784	constante		ADJ|constant|1.00
5786	sesos	seso	NOUN|brains|1.00
5787	seriamente		ADV|seriously|1.00
5790	muralla		NOUN|wall|1.00
5795	embarazo		NOUN|pregnancy|1.00
5802	persiguiendo	perseguir	VERB|pursuing/chasing|1.00
5804	milagros	Milagros	PROPN|Milagros|1.00
5805	horror		NOUN|horror|1.00
5806	emocional		ADJ|emotional|1.00
5807	comedor		NOUN|dining room|1.00
5812	subtitulado		VERB|subtitled|1.00
5813	plazo		NOUN|deadline/term|1.00
5814	pesca		NOUN|fishing|1.00
5820	litros	litro	NOUN|liters|1.00
5825	comisaría		NOUN|police station|1.00
5828	vago		ADJ|vague/lazy|0.70;NOUN|bum|0.30
5829	vago	vagar	VERB|wanders|1.00
5831	radiación		NOUN|radiation|1.00
5832	múltiples	múltiple	ADJ|multiple|1.00
5837	cortinas	cortina	NOUN|curtains|1.00
5839	tapa		NOUN|lid/cover|1.00
5840	tapa	tapar	VERB|covers|1.00
5842	respiro		NOUN|breath/respite|1.00
5848	mordida		NOUN|bite|1.00
5849	mordida	mordido	ADJ|bitten|1.00
5851	mmm		INTJ|mmm|1.00
5854	mantequilla		NOUN|butter|1.00
5855	guardián		NOUN|guardian|1.00
5856	escándalo		NOUN|scandal|1.00
5861	tinta		NOUN|ink|1.00
5862	tinta	tinto	ADJ|red wine|1.00
5863	sindicato		NOUN|union/syndicate|1.00
5870	descripción		NOUN|description|1.00
5871	calzones	calzón	NOUN|underwear|1.00
5872	brigada		NOUN|brigade|1.00
5874	repugnante		ADJ|disgusting|1.00
5876	misa		NOUN|mass|1.00
5877	metrópolis		NOUN|metropolis|1.00
5878	metrópolis	metrópoli	NOUN|metropolis|1.00
5880	mamita		NOUN|mommy|1.00
5881	jamón		NOUN|ham|1.00
5883	ésos	esos	PRON|those|1.00
5886	retraso		NOUN|delay|1.00
5887	retraso	retrasar	VERB|delay|1.00
5891	linterna		NOUN|flashlight|1.00
5892	inevitable		ADJ|inevitable|1.00
5896	cacería		NOUN|hunt|1.00
5899	parientes	pariente	NOUN|relatives|1.00
5901	jungla		NOUN|jungle|1.00
5902	dedicado		VERB|dedicated|1.00
5903	dedicado	dedicar	VERB|dedicated|1.00
5906	astuto		ADJ|clever/cunning|1.00
5907	antídoto		NOUN|antidote|1.00
5909	vano		ADJ|vain|1.00
5910	sajones	sajón	NOUN|Saxons|1.00
5912	quemado		VERB|burned|1.00
5916	parejas	parejo	ADJ|pairs/couples|1.00
5919	fuga		NOUN|escape/leak|1.00
5925	artillería		NOUN|artillery|1.00
5926	apariencia		NOUN|appearance|1.00
5931	garantizo	garantizar	VERB|I guarantee|1.00
5935	candidato		NOUN|candidate|1.00
5936	anteriormente		ADV|previously|1.00
5937	adicto		NOUN|addict|0.60;ADJ|addicted|0.40
5938	sello		NOUN|stamp/seal|1.00
5940	retrasado		VERB|delayed|0.60;ADJ|retarded|0.40
5946	chistoso		ADJ|funny|1.00
5949	solar		ADJ|solar|1.00
5950	píldoras	píldora	NOUN|pills|1.00
5955	enseñado		VERB|taught|1.00
5958	descubrimiento		NOUN|discovery|1.00
5960	clérigo		NOUN|clergyman|1.00
5963	batallas	batallar	NOUN|battles|1.00
5966	marzo		NOUN|March|1.00
5969	fraude		NOUN|fraud|1.00
5973	costo		NOUN|cost|1.00
5976	condena		NOUN|sentence/condemnation|1.00
5978	alivio		NOUN|relief|1.00
5979	alivio	aliviar	VERB|relief|1.00
5982	micrófono		NOUN|microphone|1.00
5983	matemáticas	matemática	NOUN|mathematics|1.00
5985	ida	ido	NOUN|departure/one-way|1.00
5988	giro		NOUN|turn/money order|1.00
5992	arroz		NOUN|rice|1.00
5998	seda		NOUN|silk|1.00
5999	seda	sedar	VERB|sedates|1.00
6004	choque		NOUN|crash/shock|1.00
6005	choque	chocar	VERB|crash|1.00
6006	celos	celo	NOUN|jealousy|1.00
6007	aclarar		VERB|to clarify|1.00
6009	santuario		NOUN|sanctuary|1.00
6012	impulso		NOUN|impulse|1.00
6013	impedir		VERB|to prevent|1.00
6020	audición		NOUN|audition/hearing|1.00
6023	afueras		NOUN|outskirts|1.00
6024	tribu		NOUN|tribe|1.00
6025	testamento		NOUN|testament/will|1.00
6026	postre		NOUN|dessert|1.00
6028	ópera		NOUN|opera|1.00
6030	estatal		ADJ|state|1.00
6033	costillas	costilla	NOUN|ribs|1.00
6039	privilegio		NOUN|privilege|1.00
6040	orina		NOUN|urine|1.00
6041	jovencito		NOUN|young man|1.00
6043	invasión		NOUN|invasion|1.00
6046	encaja	encajar	VERB|fits|1.00
6054	usualmente		ADV|usually|1.00
6056	sable		NOUN|saber|1.00
6060	psicópata		NOUN|psychopath|1.00
6062	plaga		NOUN|plague|1.00
6063	plaga	plagar	VERB|plague|1.00
6064	ohh		INTJ|ohh|1.00
6068	bendito		ADJ|blessed|1.00
6071	supuestamente		ADV|supposedly|1.00
6072	residente		NOUN|resident|1.00
6079	hermanito		NOUN|little brother|1.00
6082	firmado		VERB|signed|1.00
6084	entrenar		VERB|to train|1.00
6085	encendido		VERB|turned on|1.00
6091	boxeo		NOUN|boxing|1.00
6092	boxeo	boxear	VERB|boxing|1.00
6093	autorizado		VERB|authorized|1.00
6094	autorizado	autorizar	VERB|authorized|1.00
6095	armadura		NOUN|armor|1.00
6102	músculos	músculo	NOUN|muscles|1.00
6106	incómodo		ADJ|uncomfortable|1.00
6109	expedición		NOUN|expedition|1.00
6113	contratado		VERB|hired|1.00
6122	ejecución		NOUN|execution|1.00
6126	afirmativo		ADJ|affirmative|1.00
6129	talla	tallar	VERB|size/carves|1.00
6130	rodeado		VERB|surrounded|1.00
6131	rodeado	rodear	VERB|surrounded|1.00
6132	reparar		VERB|to repair|1.00
6134	patada		NOUN|kick|1.00
6137	humilde		ADJ|humble|1.00
6140	elefante		NOUN|elephant|1.00
6142	demostración		NOUN|demonstration|1.00
6143	creación		NOUN|creation|1.00
6144	compañia		NOUN|company|1.00
6148	bata		NOUN|robe/gown|1.00
6150	soga		NOUN|rope|1.00
6151	signos	signo	NOUN|signs|1.00
6162	independiente		ADJ|independent|1.00
6167	conque		CONJ|so then|1.00
6169	cometa		NOUN|comet/kite|1.00
6171	acostado		VERB|lying down|1.00
6172	acostado	acostar	VERB|lying down|1.00
6173	pentágono		NOUN|pentagon|1.00
6175	galería		NOUN|gallery|1.00
6177	decepcionado		VERB|disappointed|1.00
6180	ausencia		NOUN|absence|1.00
6183	suma		NOUN|sum|1.00
6184	suma	sumar	VERB|adds|1.00
6185	ogro		NOUN|ogre|1.00
6187	caballería		NOUN|cavalry|1.00
6188	bondad		NOUN|kindness/goodness|1.00
6190	avanzada	avanzado	ADJ|advanced|1.00
6192	ancestros	ancestro	NOUN|ancestors|1.00
6194	puño		NOUN|fist|1.00
6195	otoño		NOUN|autumn/fall|1.00
6198	ligera	ligero	ADJ|light|1.00
6199	iris		NOUN|iris|1.00
6200	horno		NOUN|oven|1.00
6201	grosero		ADJ|rude|1.00
6202	elementos	elemento	NOUN|elements|1.00
6207	veloz		ADJ|fast|1.00
6208	telefónica	telefónico	ADJ|telephone|1.00
6209	tatuaje		NOUN|tattoo|1.00
6211	resuelto		VERB|resolved|1.00
6215	nocturno		ADJ|nocturnal/night|1.00
6216	líquido		NOUN|liquid|0.60;ADJ|liquid|0.40
6220	especialidad		NOUN|specialty|1.00
6228	plena	pleno	ADJ|full|1.00
6229	pervertido		NOUN|pervert|0.60;ADJ|perverted|0.40
6230	pervertido	pervertir	VERB|perverted|1.00
6231	obedecer		VERB|to obey|1.00
6232	mentido		VERB|lied|1.00
6236	jade		NOUN|jade|1.00
6238	ego		NOUN|ego|1.00
6242	césped		NOUN|lawn/grass|1.00
6243	capullo		NOUN|cocoon/jerk|1.00
6245	supervivencia		NOUN|survival|1.00
6246	soñado		VERB|dreamed|1.00
6248	separados	separado	ADJ|separated|1.00
6249	separados	separar	VERB|separated|1.00
6252	infantería		NOUN|infantry|1.00
6253	identificado		VERB|identified|1.00
6256	hambriento		ADJ|hungry|1.00
6260	cortesía		NOUN|courtesy|1.00
6261	colonia		NOUN|colony|1.00
6263	amiguito		NOUN|little friend|1.00
6265	alfa		NOUN|alpha|1.00
6268	sensacional		ADJ|sensational|1.00
6272	literalmente		ADV|literally|1.00
6273	licor		NOUN|liquor|1.00
6274	juzgar		VERB|to judge|1.00
6275	equilibrio		NOUN|balance|1.00
6277	entregado		VERB|delivered|1.00
6281	consulta	consultar	NOUN|consultation|1.00
6282	boxeador		NOUN|boxer|1.00
6283	bahía		NOUN|bay|1.00
6285	taller		NOUN|workshop|1.00
6288	patatas	patata	NOUN|potatoes|1.00
6289	operar		VERB|to operate|1.00
6290	mochila		NOUN|backpack|1.00
6293	inspiración		NOUN|inspiration|1.00
6296	enero		NOUN|January|1.00
6298	claudia		NOUN|Claudia|1.00
6299	claudia	Claudia	PROPN|Claudia|1.00
6300	lógico		ADJ|logical|1.00
6302	insignificante		ADJ|insignificant|1.00
6303	hermandad		NOUN|brotherhood|1.00
6304	goma		NOUN|rubber/eraser|1.00
6305	franco		ADJ|frank|1.00
6306	franco	Franco	PROPN|Franco|1.00
6308	chimenea		NOUN|fireplace/chimney|1.00
6311	sábanas	sábana	NOUN|sheets|1.00
6312	polo		NOUN|pole/polo|1.00
6314	perspectiva		NOUN|perspective|1.00
6316	ministerio		NOUN|ministry|1.00
6317	gesto		NOUN|gesture|1.00
6318	gesto	gestar	VERB|gesture|1.00
6325	arabia	Arabia	PROPN|Arabia|1.00
6326	arabia	arabio	ADJ|Arabian|1.00
6327	vital		ADJ|vital|1.00
6329	transferencia		NOUN|transfer|1.00
6330	suicidó	suicidar	VERB|committed suicide|1.00
6333	seguida		NOUN|succession|1.00
6340	honorable		ADJ|honorable|1.00
6341	hmm		INTJ|hmm|1.00
6343	escolar		ADJ|school|1.00
6345	controlado		VERB|controlled|1.00
6347	constantemente		ADV|constantly|1.00
6350	australia	Australia	PROPN|Australia|1.00
6352	apetito		NOUN|appetite|1.00
6356	órbita		NOUN|orbit|1.00
6363	cuadras	cuadra	NOUN|blocks|1.00
6365	colorado		ADJ|red/colored|1.00
6366	colorado	colorar	VERB|colored|1.00
6367	asia	Asia	PROPN|Asia|1.00
6369	síndrome		NOUN|syndrome|1.00
6370	refrigerador		NOUN|refrigerator|1.00
6375	especialista		NOUN|specialist|1.00
6377	crucero		NOUN|cruise/cruiser|1.00
6379	ardiendo	arder	VERB|burning|1.00
6381	papito		NOUN|daddy|1.00
6383	oficio		NOUN|trade/occupation|1.00
6388	toneladas	tonelada	NOUN|tons|1.00
6389	tobillo		NOUN|ankle|1.00
6390	técnico		NOUN|technician|0.60;ADJ|technical|0.40
6392	saudita	Saudita	PROPN|Saudi|1.00
6393	salvador		NOUN|savior|1.00
6399	moderna	moderno	ADJ|modern|1.00
6400	mito		NOUN|myth|1.00
6401	juramento		NOUN|oath|1.00
6402	garras	garra	NOUN|claws|1.00
6403	consejero		NOUN|counselor|1.00
6404	confusión		NOUN|confusion|1.00
6405	aguarda	aguardar	VERB|awaits|1.00
6408	sirviente		NOUN|servant|1.00
6409	sierra		NOUN|mountain range/saw|1.00
6414	indicado		VERB|indicated|1.00
6416	entrenado		VERB|trained|1.00
6419	enhorabuena		NOUN|congratulations|1.00
6420	cuba	Cuba	PROPN|Cuba|1.00
6421	cruce		NOUN|crossing|1.00
6425	cancelar		VERB|to cancel|1.00
6428	suite		NOUN|suite|1.00
6430	provisiones	provisión	NOUN|provisions|1.00
6431	preferido		VERB|preferred|1.00
6436	mandado		VERB|sent/errand|1.00
6440	gilipollas		NOUN|asshole/idiot|1.00
6443	escopeta		NOUN|shotgun|1.00
6446	desesperado		ADJ|desperate|1.00
6447	desesperado	desesperar	VERB|desperate|1.00
6448	bailarina		NOUN|dancer|1.00
6449	bailarina	bailarín	NOUN|dancer|1.00
6450	alimentar		VERB|to feed|1.00
6452	simpático		ADJ|nice/likeable|1.00
6455	rabia		NOUN|rage/rabies|1.00
6456	rabia	rabiar	VERB|rages|1.00
6459	pito		NOUN|whistle/dick|1.00
6460	pito	pitar	VERB|whistles|1.00
6461	perla		NOUN|pearl|1.00
6462	pendiente		ADJ|pending|0.60;NOUN|earring|0.40
6469	suicida		NOUN|suicide|0.60;ADJ|suicidal|0.40
6471	sobrina		NOUN|niece|1.00
6473	padrino		NOUN|godfather|1.00
6474	fractura		NOUN|fracture|1.00
6475	fractura	fracturar	VERB|fractures|1.00
6478	envío		NOUN|shipment|1.00
6481	destrozado		VERB|destroyed|1.00
6482	destrozado	destrozar	VERB|destroyed|1.00
6484	condicional		ADJ|conditional|1.00
6486	avergonzado		VERB|ashamed|1.00
6487	avergonzado	avergonzar	VERB|ashamed|1.00
6492	val		NOUN|Val|1.00
6497	organizado		VERB|organized|1.00
6498	organizado	organizar	VERB|organized|1.00
6499	novato		NOUN|novice/rookie|1.00
6500	localizar		VERB|to locate|1.00
6507	cajón		NOUN|drawer/box|1.00
6508	aliados	aliado	NOUN|allies|1.00
6509	aliados	aliar	VERB|allied|1.00
6510	águila		NOUN|eagle|1.00
6512	sexto		ADJ|sixth|1.00
6515	protector		NOUN|protector|1.00
6519	materia		NOUN|matter/subject|1.00
6520	hueón		NOUN|dude/idiot|1.00
6521	hueón	huevón	NOUN|dumbass|1.00
6523	gentil		ADJ|kind/gentile|1.00
6524	evidente		ADJ|evident|1.00
6525	enlace		NOUN|link|1.00
6526	dorado		ADJ|golden|1.00
6527	dorado	dorar	VERB|golden|1.00
6530	competir		VERB|to compete|1.00
6531	auténtico		ADJ|authentic|1.00
6533	afortunadamente		ADV|fortunately|1.00
6534	siesta		NOUN|nap/siesta|1.00
6541	extraterrestre		NOUN|alien|0.60;ADJ|extraterrestrial|0.40
6542	egipto	Egipto	PROPN|Egypt|1.00
6543	canciller		NOUN|chancellor|1.00
6547	protocolo		NOUN|protocol|1.00
6549	pacto		NOUN|pact|1.00
6550	pacto	pactar	VERB|pact|1.00
6551	módulo		NOUN|module|1.00
6554	huracán		NOUN|hurricane|1.00
6559	billones	billón	NOUN|billions|1.00
6562	acento		NOUN|accent|1.00
6564	vientre		NOUN|belly/womb|1.00
6566	timón		NOUN|rudder/helm|1.00
6567	tabla		NOUN|board/table|1.00
6570	particularmente		ADV|particularly|1.00
6571	palma		NOUN|palm|1.00
6572	palma	palmar	VERB|palm|1.00
6576	irlandés		ADJ|Irish|1.00
6579	as		NOUN|ace|1.00
6581	voluntario		NOUN|volunteer|0.60;ADJ|voluntary|0.40
6584	vestíbulo		NOUN|lobby/vestibule|1.00
6589	hacha		NOUN|axe|1.00
6590	felicito	felicitar	VERB|I congratulate|1.00
6593	drogado		VERB|drugged|1.00
6594	drogado	drogar	VERB|drugged|1.00
6595	cagar		VERB|to shit|1.00
6596	traducido		VERB|translated|1.00
6597	traducido	traducir	VERB|translated|1.00
6598	suplico	suplicar	VERB|I beg|1.00
6599	salario		NOUN|salary|1.00
6600	préstamo		NOUN|loan|1.00
6601	mensajero		NOUN|messenger|1.00
6602	granjero		NOUN|farmer|1.00
6603	filosofía		NOUN|philosophy|1.00
6606	diagnóstico		NOUN|diagnosis|1.00
6607	cardíaco		ADJ|cardiac/heart|1.00
6613	magneto		NOUN|magneto|1.00
6614	lance		NOUN|throw/cast|1.00
6617	hilo		NOUN|thread|1.00
6619	gemelos	gemelo	NOUN|twins/cufflinks|1.00
6622	dificultades	dificultad	NOUN|difficulties|1.00
6623	concentración		NOUN|concentration|1.00
6627	torpe		ADJ|clumsy|1.00
6628	sobrevivientes	sobreviviente	NOUN|survivors|1.00
6630	región		NOUN|region|1.00
6631	produce	producir	VERB|produces|1.00
6632	post		NOUN|post|1.00
6633	obsesionado		VERB|obsessed|1.00
6634	obsesionado	obsesionar	VERB|obsessed|1.00
6639	automóvil		NOUN|automobile|1.00
6642	ruinas	ruina	NOUN|ruins|1.00
6643	ruinas	ruinar	VERB|ruins|1.00
6644	orilla		NOUN|shore/edge|1.00
6647	excitante		ADJ|exciting|1.00
6652	batallón		NOUN|battalion|1.00
6653	atrae	atraer	VERB|attracts|1.00
6654	apresúrate	apresurar	VERB|hurry up|1.00
6656	ofender		VERB|to offend|1.00
6657	novela		NOUN|novel|1.00
6658	nazis	nazi	NOUN|Nazis|1.00
6661	espectacular		ADJ|spectacular|1.00
6664	construido		VERB|built|1.00
6667	chaval		NOUN|kid/boy|1.00
6670	arrogante		ADJ|arrogant|1.00
6672	vendo	vendar	VERB|I bandage|1.00
6676	semental		NOUN|stallion/stud|1.00
6680	facultad		NOUN|faculty/ability|1.00
6681	envidia		NOUN|envy|1.00
6682	envidia	envidiar	VERB|envies|1.00
6683	emocionado	emocionar	VERB|excited|1.00
6684	disposición		NOUN|disposition|1.00
6688	conquistar		VERB|to conquer|1.00
6691	almohada		NOUN|pillow|1.00
6692	activo		ADJ|active|1.00
6693	activo	activar	VERB|active|1.00
6694	abuelita		NOUN|granny|1.00
6698	traicionado		VERB|betrayed|1.00
6699	traicionado	traicionar	VERB|betrayed|1.00
6700	teresa		NOUN|Teresa|1.00
6701	teresa	Teresa	PROPN|Teresa|1.00
6705	manta		NOUN|blanket|1.00
6706	lidiar		VERB|to deal with|1.00
6709	comunista		NOUN|communist|0.60;ADJ|communist|0.40
6712	suiza	Suiza	PROPN|Switzerland|1.00
6713	suiza	suizo	ADJ|Swiss|1.00
6714	pita		NOUN|whistle|1.00
6716	nudos	nudo	NOUN|knots|1.00
6718	molestado		VERB|bothered|1.00
6721	hembra		NOUN|female|1.00
6722	eternamente		ADV|eternally|1.00
6726	colgado		VERB|hung/hanged|1.00
6729	acusación		NOUN|accusation|1.00
6740	insectos	insecto	NOUN|insects|1.00
6741	imaginado		VERB|imagined|1.00
6749	canto		NOUN|song/singing|1.00
6751	bichos	bicho	NOUN|bugs|1.00
6753	apestoso		ADJ|stinky|1.00
6754	visa		NOUN|visa|1.00
6755	times	timar	VERB|scams|1.00
6758	ooh		INTJ|ooh|1.00
