rank	word	lemma
2037	murieron	morir
2036	éramos	ser
2034	comienza	comenzar
2031	negra	negro
2030	llegué	llegar
2028	detener	
2027	pudiste	poder
2026	uso	usar
2024	llevará	llevar
2022	cambia	cambiar
2020	balas	bala
2019	aviones	avión
2012	conocía	conocer
2011	tantos	tanto
2007	hablé	hablar
1999	hayan	haber
1997	saca	sacar
1996	toque	tocar
1995	toque	
1991	cerrar	cerrar
1988	seria	ser
1987	mataré	matar
1984	irás	ir
1983	modos	modo
1980	clases	clase
1978	estrellas	estrellar
1977	estrellas	estrella
1976	negros	negro
1973	enferma	enfermo
1972	sepas	saber
1970	perdiendo	perder
1969	secretos	secreto
1964	tomé	tomar
1962	vivos	vivo
1961	termine	terminar
1959	yendo	ir
1957	toques	tocar
1953	usando	usar
1950	calles	callar
1949	calles	calle
1948	matarte	matar
1945	mueve	mover
1941	encuentras	encontrar
1939	casas	casar
1938	casas	casa
1937	traído	traer
1935	sentí	sentir
1934	abran	abrir
1932	encantado	encantar
1929	estúpida	estúpido
1928	tendrán	tener
1925	matarlo	matar
1924	querer	
1922	nuevas	nuevo
1921	dará	dar
1919	refiero	referir
1918	perfecta	perfecto
1913	momentos	momento
1910	siga	seguir
1909	encantaría	encantar
1906	jodido	joder
1903	hechos	hacer
1902	hechos	hecho
1898	oíste	oír
1893	doc	doctor
1892	mato	matar
1891	verdadera	verdadero
1890	quede	quedar
1889	abierto	abrir
1882	sigan	seguir
1881	dedos	dedo
1880	cerrado	cerrar
1878	películas	película
1876	amas	amar
1875	amas	ama
1873	mismos	mismo
1864	escrito	escribir
1863	quiso	querer
1861	puse	poner
1858	quedó	quedar
1857	olvidado	olvidar
1854	saliendo	salir
1852	sentado	sentar
1851	siguen	seguir
1850	oyes	oír
1846	clientes	cliente
1842	llámame	llamar
1841	vieron	ver
1840	encontraste	encontrar
1839	extraña	extrañar
1838	extraña	extraño
1837	luchar	
1834	herida	herir
1833	herida	herido
1831	deber	deber
1829	trajo	traer
1828	intentar	
1826	lados	lado
1825	ponga	poner
1824	llevan	llevar
1823	bienvenidos	bienvenido
1821	seguros	seguro
1820	quedarte	quedar
1818	diste	dar
1814	partir	
1812	pago	pagar
1807	podré	poder
1801	gana	ganar
1800	gana	gana
1799	debió	deber
1798	digamos	decir
1797	tomado	tomar
1794	alguno	
1793	dama	
1787	pedido	pedir
1784	dé	dar
1781	hubieras	haber
1780	poderes	poder
1777	haberte	haber
1776	supe	saber
1775	felices	feliz
1774	ponte	poner
1772	maté	matar
1770	harán	hacer
1763	preguntar	
1761	deberían	deber
1760	verá	ver
1759	come	comer
1758	salgan	salir
1756	preocupe	preocupar
1754	lleve	llevar
1753	robots	robot
1748	ama	amar
1746	ganado	ganar
1744	paga	pagar
1742	pequeños	pequeño
1741	intenta	intentar
1738	debido	deber
1736	despues	después
1733	corriendo	correr
1730	humana	humano
1728	malas	mala
1727	malas	malo
1725	salido	salir
1721	hable	hablar
1719	millón	
1718	leyes	ley
1717	roja	rojo
1714	casado	casar
1711	pasada	pasar
1710	pasada	pasado
1705	decirlo	decir
1704	dígame	decir
1703	noticia	
1702	cuento	contar
1700	lugares	lugar
1699	escuché	escuchar
1697	asuntos	asunto
1696	brazos	brazo
1695	desea	desear
1691	parecer	
1690	nombres	nombre
1689	locos	loco
1688	podremos	poder
1687	ayude	ayudar
1686	mataron	matar
1684	malditos	maldito
1681	quedarse	quedar
1675	suya	suyo
1673	cuántas	cuántos
1671	diferentes	diferente
1665	acuerdas	acordar
1663	vengo	venir
1662	terminó	terminar
1659	pedí	pedir
1658	empezó	empezar
1654	tomando	tomar
1652	cuentas	contar
1651	cuentas	cuenta
1647	hagamos	hacer
1644	dejen	dejar
1643	haberlo	haber
1642	muevas	mover
1639	sigo	seguir
1638	acabado	acabar
1637	vayamos	ir
1635	caer	caer
1634	llena	llenar
1633	llena	lleno
1631	volverá	volver
1628	podrás	poder
1627	ibas	ir
1625	dejas	dejar
1624	encontraron	encontrar
1623	escuchen	escuchar
1622	animal	animal
1621	estarán	estar
1619	tranquila	tranquilo
1618	carga	cargar
1616	creerlo	creer
1614	caminar	caminar
1611	hacerme	hacer
1610	jóvenes	joven
1606	tanta	tanto
1605	bebe	beber
1604	hubiese	haber
1603	pon	poner
1602	matarme	matar
1601	solos	solo
1600	policías	policía
1596	tema	temer
1594	solía	soler
1593	larga	largar
1592	larga	largo
1591	muévete	mover
1590	dejaste	dejar
1589	teníamos	tener
1588	puntos	punto
1587	dando	dar
1583	fuerzas	forzar
1582	fuerzas	fuerza
1576	mataste	matar
1575	pasará	pasar
1574	tomó	tomar
1573	señores	señor
1572	pierna	
1571	bajar	
1568	recordar	
1567	llame	llamar
1564	subir	
1556	planes	plan
1553	correr	
1551	llevaré	llevar
1550	intentando	intentar
1548	quiénes	quién
1547	necesitaba	necesitar
1545	fuimos	ser
1544	fuimos	ir
1543	oigan	oír
1542	últimos	último
1541	oiga	oír
1540	quienes	quien
1539	tiempos	tiempo
1538	tuviera	tener
1536	mio	mío
1535	quedarme	quedar
1534	preocupa	preocupar
1532	podrá	poder
1531	habías	haber
1529	vendrá	venir
1528	debí	deber
1527	déjeme	dejar
1526	llegamos	llegar
1522	mírame	mirar
1519	pidió	pedir
1517	nuevos	nuevo
1515	leo	leer
1513	demonio	
1511	traer	
1510	hablado	hablar
1505	parecen	parecer
1502	perdió	perder
1497	irá	ir
1495	probar	
1494	conocí	conocer
1492	hacerle	hacer
1489	tuviste	tener
1487	déjalo	dejar
1485	mata	matar
1482	podido	poder
1481	debía	deber
1478	blanca	blanco
1469	estén	estar
1467	tuvimos	tener
1466	tengan	tener
1462	alegra	alegrar
1460	caballero	
1458	tratar	
1453	viejos	viejo
1451	encontró	encontrar
1447	cambiado	cambiar
1445	ayudarme	ayudar
1443	pedir	
1442	tendría	tener
1439	empieza	empezar
1438	entiende	entender
1436	tenían	tener
1435	contar	contar
1433	volvió	volver
1432	dejo	dejar
1431	hacerte	hacer
1430	ganas	ganar
1428	habían	haber
1427	vuelvo	volver
1426	tocar	
1425	estados	estar
1424	estados	estado
1422	tenia	tener
1419	pareces	parecer
1418	sepa	saber
1417	tambien	también
1416	perros	perro
1415	abrir	
1412	irte	ir
1410	dia	día
1409	estuviera	estar
1408	partido	partir
1406	llevas	llevar
1405	darte	dar
1402	verme	ver
1394	escuche	escuchar
1390	soldado	soldado
1380	muere	morir
1378	podamos	poder
1377	puertas	puerta
1375	estuviste	estar
1373	llevó	llevar
1371	acabar	
1368	llaves	llave
1365	parecía	parecer
1363	regresa	regresar
1356	formas	forma
1355	llegue	llegar
1354	dejaré	dejar
1351	dioses	dios
1350	hayas	haya
1349	hayas	haber
1345	sigues	seguir
1344	lee	leer
1343	verla	ver
1338	darme	dar
1337	hermanos	hermano
1334	cartas	carta
1332	dejé	dejar
1330	pensado	pensar
1328	llamaré	llamar
1327	miles	mil
1326	quedar	
1325	santa	santo
1324	entender	
1323	perdí	perder
1321	matado	matar
1314	entrada	entrar
1312	llaman	llamar
1311	vea	ver
1310	salga	salir
1309	ojo	
1308	jugando	jugar
1307	próximo	
1303	mirar	
1298	ayúdame	ayudar
1293	puso	poner
1292	viva	vivir
1281	pone	poner
1279	bonita	bonito
1277	podrían	poder
1272	conocer	
1271	cálmate	calmar
1268	volar	
1266	estaremos	estar
1265	serán	ser
1262	cenar	cenar
1261	estarás	estar
1259	escuchar	
1255	serás	ser
1248	veremos	ver
1247	viendo	ver
1246	vieja	viejo
1242	dejado	dejar
1239	encuentro	encontrar
1231	sabías	saber
1230	vuelva	volver
1229	dieron	dar
1228	ninguno	
1220	conocido	conocer
1217	tome	tomar
1214	quedan	quedar
1213	vienes	venir
1211	libros	libro
1210	irse	ir
1209	trabaja	trabajar
1208	hablamos	hablar
1205	luces	luz
1198	seré	ser
1194	esperaba	esperar
1192	vengan	venir
1190	dejes	dejar
1189	hagan	hacer
1187	usa	usar
1186	volveré	volver
1185	llamó	llamar
1184	salida	salir
1179	órdenes	orden
1177	pregunto	preguntar
1171	segunda	segundo
1170	tí	ti
1164	puedas	poder
1154	iremos	ir
1152	verás	ver
1151	llega	llegar
1150	partes	partir
1149	partes	parte
1144	ayudarte	ayudar
1143	pelear	pelear
1140	oír	
1137	ésa	ese
1136	diría	decir
1134	junto	
1132	humanos	humano
1130	saberlo	saber
1126	encontrado	encontrar
1125	encontramos	encontrar
1124	harás	hacer
1118	vayan	ir
1117	mirando	mirar
1114	querías	querer
1113	pruebas	probar
1112	pruebas	prueba
1110	hicimos	hacer
1105	necesitan	necesitar
1104	escúchame	escuchar
1103	quise	querer
1102	veamos	ver
1101	encuentra	encontrar
1099	cielos	cielo
1098	estés	estar
1096	salvar	
1094	creía	creer
1092	terminado	terminar
1090	pies	pie
1089	tuya	tuyo
1086	pudiera	poder
1085	sueños	sueño
1084	veré	ver
1083	ocurrió	ocurrir
1078	oí	oír
1077	sucedió	suceder
1076	vidas	vida
1073	estábamos	estar
1070	deje	dejar
1069	diablo	
1065	esperen	esperar
1062	decía	decir
1055	hacía	hacer
1050	creen	creer
1047	daré	dar
1037	ahi	ahí
1035	salió	salir
1034	trae	traer
1033	doy	dar
1032	vayas	ir
1031	tendremos	tener
1029	irnos	ir
1026	hermoso	
1014	tendré	tener
1011	busca	buscar
1010	pensaba	pensar
1008	muerta	morir
1007	muerta	muerto
1005	hubo	haber
1003	esposo	esposar
994	media	medio
992	regreso	regresar
985	negocios	negociar
981	disculpa	disculpar
974	vuelto	volver
967	siéntate	sentar
964	baja	bajo
961	llamas	llama
934	vista	ver
904	vienen	venir
900	supone	suponer
897	fotos	foto
895	sean	ser
893	vine	venir
889	decirle	decir
887	quiera	querer
885	vive	vivir
884	segundos	segundo
878	podríamos	poder
876	fuiste	ser
875	fuiste	ir
872	dijeron	decir
868	entra	entrar
863	eras	ser
861	llamada	llamar
858	encontré	encontrar
852	acabo	acabar
851	siente	sentar
850	siente	sentir
848	conoce	conocer
845	señorita	
844	entendido	entender
841	hazlo	hacer
840	vio	ver
838	mató	matar
836	espere	esperar
832	creí	creer
822	pase	pasar
821	sal	salir
819	llegó	llegar
818	palabras	palabra
814	cambiar	
811	puesto	poner
809	verlo	ver
807	haremos	hacer
806	listos	listo
805	venido	venir
803	llevar	
778	querido	
760	sientes	sentar
748	preguntas	preguntar
740	oído	oír
698	hablas	habla
663	peor	bien
592	asi	así
560	armas	armar
519	fueron	ser
498	fui	ser
473	unas	un
454	supuesto	suponer
382	caso	casar
321	aqui	aquí
313	pasado	pasar
297	pasó	pasar
274	unos	un
265	esos	eso
242	ve	ir
189	cosa	coser
187	fuera	ser
186	fuera	ir
121	sr	señor
70	fue	ir
